rsrp;rsrq
-95;-13
-95;-13
-95;-13
-95;-13
-95;-13
-95;-13
-97;-13
-97;-13
-97;-13
-96;-12
-96;-12
-102;-14
-102;-14
-100;-14
-100;-14
-100;-14
-100;-14
-103;-14
-103;-14
-103;-15
-103;-15
-105;-17
-105;-17
-103;-16
-103;-16
-101;-15
-101;-15
-102;-15
-102;-15
-104;-16
-104;-16
-100;-14
-100;-14
-100;-14
-103;-13
-103;-13
-104;-14
-104;-14
-104;-14
-104;-14
-106;-14
-106;-14
-106;-14
-101;-14
-101;-14
-104;-14
-104;-14
-102;-14
-102;-14
-105;-15
-105;-15
-105;-13
-105;-13
-105;-13
-100;-13
-100;-13
-107;-15
-107;-15
-108;-14
-108;-14
-108;-13
-108;-13
-108;-13
-109;-13
-109;-13
-112;-14
-112;-14
-109;-16
-109;-16
-106;-15
-106;-15
-106;-15
-109;-16
-109;-16
-109;-17
-109;-17
-112;-17
-112;-17
-109;-16
-109;-16
-109;-16
-108;-16
-108;-16
-103;-14
-103;-14
-96;-14
-96;-14
-98;-15
-98;-15
-105;-17
-105;-17
-105;-17
-105;-16
-105;-16
-111;-18
-111;-18
-108;-16
-108;-16
-106;-17
-106;-17
-106;-17
-106;-17
-106;-17
-104;-16
-104;-16
-108;-15
-108;-15
-108;-15
-108;-15
-108;-15
-105;-17
-105;-17
-105;-14
-105;-14
-103;-14
-103;-14
-104;-14
-104;-14
-104;-14
-104;-15
-104;-15
-105;-15
-105;-15
-104;-14
-104;-14
-104;-14
-103;-14
-103;-14
-106;-13
-106;-13
-105;-15
-105;-15
-103;-13
-103;-13
-103;-13
-102;-14
-102;-14
-103;-14
-103;-14
-101;-14
-101;-14
-101;-14
-102;-15
-102;-15
-101;-14
-101;-14
-99;-13
-99;-13
-98;-13
-98;-13
-98;-13
-95;-13
-95;-13
-95;-13
-95;-13
-95;-13
-95;-13
-94;-13
-94;-13
-94;-13
-94;-13
-94;-13
-96;-13
-96;-13
-92;-13
-92;-13
-95;-13
-95;-13
-91;-13
-91;-13
-91;-13
-100;-13
-100;-13
-97;-12
-97;-12
-93;-13
-93;-13
-101;-13
-101;-13
-100;-13
-100;-13
-100;-13
-97;-12
-97;-12
-100;-13
-100;-13
-99;-13
-99;-13
-99;-12
-99;-12
-99;-12
-98;-13
-98;-13
-101;-13
-101;-13
-97;-14
-97;-14
-97;-13
-97;-13
-97;-13
-97;-13
-97;-13
-95;-13
-95;-13
-92;-13
-92;-13
-97;-13
-97;-13
-97;-13
-98;-13
-98;-13
-99;-12
-99;-12
-95;-12
-95;-12
-95;-12
-103;-13
-103;-13
-103;-13
-103;-13
-105;-12
-105;-12
-105;-12
-106;-14
-106;-14
-106;-14
-106;-14
-106;-16
-106;-16
-106;-15
-106;-15
-106;-15
-109;-16
-109;-16
-108;-18
-108;-18
-110;-18
-110;-18
-110;-16
-110;-16
-110;-16
-109;-15
-109;-15
-109;-16
-109;-16
-106;-14
-106;-14
-101;-15
-101;-15
-101;-15
-103;-14
-103;-14
-104;-15
-104;-15
-103;-15
-103;-15
-103;-15
-101;-13
-101;-13
-100;-13
-100;-13
-101;-13
-101;-13
-98;-13
-98;-13
-98;-13
-101;-14
-101;-14
-99;-13
-99;-13
-98;-13
-98;-13
-100;-13
-100;-13
-100;-13
-100;-13
-100;-13
-101;-13
-101;-13
-98;-13
-98;-13
-99;-13
-99;-13
-99;-13
-96;-13
-96;-13
-97;-13
-97;-13
-98;-13
-98;-13
-98;-13
-93;-12
-93;-12
-91;-12
-91;-12
-86;-11
-86;-11
-86;-13
-86;-13
-86;-13
-98;-13
-98;-13
-97;-13
-97;-13
-98;-13
-98;-13
-96;-13
-96;-13
-96;-13
-91;-13
-91;-13
-89;-12
-89;-12
-92;-13
-92;-13
-91;-12
-91;-12
-90;-12
-90;-12
-89;-12
-89;-12
-87;-12
-87;-12
-96;-13
-96;-13
-92;-12
-92;-12
-95;-12
-95;-12
-99;-14
-99;-14
-99;-14
-102;-14
-102;-14
-102;-13
-102;-13
-103;-13
-103;-13
-103;-13
-100;-14
-100;-14
-107;-14
-107;-14
-106;-16
-106;-16
-105;-13
-105;-13
-105;-13
-102;-12
-102;-12
-103;-13
-103;-13
-101;-13
-101;-13
-94;-13
-94;-13
-94;-13
-94;-12
-94;-12
-104;-14
-104;-14
-103;-14
-103;-14
-103;-13
-103;-13
-103;-13
-106;-14
-106;-14
-106;-15
-106;-15
-114;-15
-114;-15
-103;-14
-103;-14
-99;-13
-99;-13
-99;-13
-101;-14
-101;-14
-103;-14
-103;-14
-98;-14
-98;-14
-100;-14
-100;-14
-100;-14
-101;-14
-101;-14
-99;-13
-99;-13
-96;-13
-96;-13
-92;-13
-92;-13
-93;-12
-93;-12
-93;-12
-98;-13
-98;-13
-96;-14
-96;-14
-98;-14
-98;-14
-96;-13
-96;-13
-99;-14
-99;-14
-99;-14
-97;-13
-97;-13
-89;-12
-89;-12
-86;-13
-86;-13
-90;-13
-90;-13
-97;-14
-97;-14
-97;-14
-95;-13
-95;-13
-98;-13
-98;-13
-99;-14
-99;-14
-98;-15
-98;-15
-98;-15
-98;-15
-98;-15
-100;-15
-100;-15
-100;-16
-100;-16
-103;-15
-103;-15
-98;-15
-98;-15
-98;-15
-102;-15
-102;-15
-100;-14
-100;-14
-98;-14
-98;-14
-96;-14
-96;-14
-96;-14
-96;-13
-96;-13
-97;-14
-97;-14
-97;-14
-97;-14
-97;-14
-97;-14
-100;-14
-100;-14
-100;-14
-98;-15
-98;-15
-99;-14
-99;-14
-101;-14
-101;-14
-98;-14
-98;-14
-97;-14
-97;-14
-97;-14
-99;-13
-99;-13
-101;-14
-101;-14
-100;-13
-100;-13
-101;-13
-101;-13
-99;-14
-99;-14
-99;-14
-101;-13
-101;-13
-103;-14
-103;-14
-103;-14
-103;-14
-102;-14
-102;-14
-102;-15
-102;-15
-101;-15
-101;-15
-101;-15
-98;-13
-98;-13
-99;-13
-99;-13
-97;-13
-97;-13
-85;-13
-85;-13
-85;-13
-89;-13
-89;-13
-97;-14
-97;-14
-104;-14
-104;-14
-104;-14
-97;-13
-97;-13
-94;-13
-94;-13
-95;-13
-95;-13
-95;-13
-89;-12
-89;-12
-90;-13
-90;-13
-102;-16
-102;-16
-101;-15
-101;-15
-101;-15
-104;-16
-104;-16
-104;-15
-104;-15
-95;-13
-95;-13
-95;-13
-101;-13
-101;-13
-100;-13
-100;-13
-105;-16
-105;-16
-102;-14
-102;-14
-102;-15
-102;-15
-102;-15
-97;-14
-97;-14
-94;-14
-94;-14
-98;-14
-98;-14
-96;-14
-96;-14
-96;-14
-103;-15
-103;-15
-98;-15
-98;-15
-95;-14
-95;-14
-94;-14
-94;-14
-94;-14
-99;-16
-99;-16
-95;-14
-95;-14
-100;-13
-100;-13
-99;-14
-99;-14
-99;-14
-95;-14
-95;-14
-91;-12
-91;-12
-99;-16
-99;-16
-101;-15
-101;-15
-99;-18
-99;-18
-99;-18
-97;-15
-97;-15
-97;-16
-97;-16
-99;-16
-99;-16
-96;-15
-96;-15
-96;-15
-96;-15
-96;-15
-98;-16
-98;-16
-94;-14
-94;-14
-96;-16
-96;-16
-94;-14
-94;-14
-93;-14
-93;-14
-93;-14
-96;-15
-96;-15
-98;-18
-98;-18
-97;-16
-97;-16
-97;-15
-97;-15
-97;-16
-97;-16
-95;-14
-95;-14
-95;-14
-96;-15
-96;-15
-99;-17
-99;-17
-87;-14
-87;-14
-96;-15
-96;-15
-96;-15
-93;-14
-93;-14
-94;-14
-94;-14
-93;-14
-93;-14
-85;-13
-85;-13
-87;-13
-87;-13
-87;-13
-94;-16
-94;-16
-96;-16
-96;-16
-95;-15
-95;-15
-96;-14
-96;-14
-96;-14
-95;-17
-95;-17
-95;-18
-95;-18
-90;-14
-90;-14
-94;-14
-94;-14
-94;-14
-92;-15
-92;-15
-88;-13
-88;-13
-83;-13
-83;-13
-87;-13
-87;-13
-87;-13
-94;-14
-94;-14
-84;-14
-84;-14
-91;-14
-91;-14
-96;-14
-96;-14
-94;-14
-94;-14
-94;-14
-96;-14
-96;-14
-96;-15
-96;-15
-96;-15
-96;-15
-96;-15
-96;-15
-96;-15
-93;-15
-93;-15
-98;-15
-98;-15
-96;-15
-96;-15
-96;-15
-99;-15
-99;-15
-100;-16
-100;-16
-100;-16
-100;-16
-97;-15
-97;-15
-97;-15
-98;-16
-98;-16
-99;-16
-99;-16
-98;-15
-98;-15
-99;-16
-99;-16
-99;-16
-100;-16
-100;-16
-101;-17
-101;-17
-98;-15
-98;-15
-101;-17
-101;-17
-101;-17
-101;-17
-101;-17
-100;-19
-100;-19
-99;-18
-99;-18
-102;-18
-102;-18
-102;-18
-100;-17
-100;-17
-98;-16
-98;-16
-99;-18
-99;-18
-99;-19
-99;-19
-99;-19
-97;-15
-97;-15
-96;-15
-96;-15
-95;-15
